Lx,edge_hybridization_gap,exponential_fit
4.000000000000000000e+00,9.478758774307427526e-02,9.413921713488239418e-02
5.000000000000000000e+00,4.703669636358433215e-02,4.704671781492721777e-02
6.000000000000000000e+00,2.346188555515774793e-02,2.351191909728807955e-02
7.000000000000000000e+00,1.172232914114991476e-02,1.175024242524355320e-02
8.000000000000000000e+00,5.859889207591791049e-03,5.872264041088788925e-03
9.000000000000000000e+00,2.929760147832119813e-03,2.934704129523495447e-03
1.000000000000000000e+01,1.464853878313967031e-03,1.466638466455162833e-03
1.100000000000000000e+01,7.324232719907287177e-04,7.329626075917954325e-04
1.200000000000000000e+01,3.662111284941493156e-04,3.663030776945661190e-04
1.300000000000000000e+01,1.831054946706142878e-04,1.830624691338116083e-04
1.400000000000000000e+01,9.155273787087093757e-05,9.148672136822974229e-05
1.500000000000000000e+01,4.577636765645789389e-05,4.572111490854018035e-05
1.600000000000000000e+01,2.288818365636680898e-05,2.284943997573260217e-05
