x,delta_B_density_parallel_transport
0.000000000000000000e+00,-3.829580516929831369e+00
1.000000000000000000e+00,-1.560840725917840288e-01
2.000000000000000000e+00,-1.316172724621988976e-02
3.000000000000000000e+00,-1.073735219394578166e-03
4.000000000000000000e+00,-9.197156283935470356e-05
5.000000000000000000e+00,-7.291792963215470991e-06
6.000000000000000000e+00,-6.280084310361644384e-07
7.000000000000000000e+00,-5.174492301307509479e-08
8.000000000000000000e+00,-4.473042380936931295e-09
9.000000000000000000e+00,-2.683222533050866332e-10
1.000000000000000000e+01,1.200080035346218210e-09
1.100000000000000000e+01,1.242803016054949694e-08
1.200000000000000000e+01,1.319819098455354833e-07
1.300000000000000000e+01,1.398577854416771515e-06
1.400000000000000000e+01,1.416633422035573631e-05
1.500000000000000000e+01,1.598538915619229783e-04
1.600000000000000000e+01,1.738376977066025120e-03
1.700000000000000000e+01,1.728069641669804923e-02
1.800000000000000000e+01,1.716478770381399954e-01
1.900000000000000000e+01,3.809157484992217846e+00
