flux,total_charge_right,A_charge_right,B_charge_right
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857142634e-03,-3.356240270591115404e-06,-4.263256414560601115e-14,2.878330845923926518e-02
1.428571428571428527e-02,-7.072244116557158122e-06,-7.105427357601001859e-14,5.756242238147990520e-02
2.142857142857142877e-02,-1.114033207727516128e-05,-1.136868377216160297e-13,8.633692008771731707e-02
2.857142857142857054e-02,-1.555210174331023154e-05,-1.278976924368180335e-13,1.151063895828343675e-01
3.571428571428571230e-02,-2.029844660000890144e-05,-1.705302565824240446e-13,1.438704294094463876e-01
4.285714285714285754e-02,-2.536957616428026085e-05,-1.847411112976260483e-13,1.726286494779998293e-01
5.000000000000000278e-02,-3.075503749982999580e-05,-2.557953848736360669e-13,2.013806718697139786e-01
5.714285714285714107e-02,-3.644373812505818933e-05,-3.268496584496460855e-13,2.301261316116125499e-01
6.428571428571427937e-02,-4.242397073994652601e-05,-3.979039320256561041e-13,2.588646774215987989e-01
7.142857142857142461e-02,-4.868343842190370196e-05,-4.263256414560601115e-13,2.875959724220820135e-01
7.857142857142856984e-02,-5.520928161217852903e-05,-5.115907697472721338e-13,3.163196948206632442e-01
8.571428571428571508e-02,-6.198810640967167274e-05,-5.684341886080801487e-13,3.450355385565160304e-01
9.285714285714286031e-02,-6.900601293580166384e-05,-6.110667527536861598e-13,3.737432139111689366e-01
1.000000000000000056e-01,-7.624862588784253603e-05,-6.679101716144941747e-13,4.024424480826240824e-01
1.071428571428571647e-01,-8.370112509226146358e-05,-7.247535904753021896e-13,4.311329857208505700e-01
1.142857142857143099e-01,-9.134827759282870829e-05,-8.100187187665142119e-13,4.598145894262444244e-01
1.214285714285714413e-01,-9.917446978136013058e-05,-8.952838470577262342e-13,4.884870402060101924e-01
1.285714285714285865e-01,-1.071637408074366249e-04,-9.094947017729282379e-13,5.171501378924006076e-01
1.357142857142857317e-01,-1.152998162154972306e-04,-1.008970684779342264e-12,5.458037015183521135e-01
1.428571428571428770e-01,-1.235661421503664315e-04,-1.108446667785756290e-12,5.744475696521078589e-01
1.500000000000000222e-01,-1.319459203017459004e-04,-1.207922650792170316e-12,6.030816006901176252e-01
1.571428571428571674e-01,-1.404221424223806025e-04,-1.264766069652978331e-12,6.317056731070209707e-01
1.642857142857142849e-01,-1.489776262673103702e-04,-1.321609488513786346e-12,6.603196856632536083e-01
1.714285714285714302e-01,-1.575950506378376303e-04,-1.421085471520200372e-12,6.889235575704617531e-01
1.785714285714285754e-01,-1.662569911928812871e-04,-1.520561454526614398e-12,7.175172286137154742e-01
1.857142857142857206e-01,-1.749459556776855607e-04,-1.563194018672220409e-12,7.461006592311321128e-01
1.928571428571428659e-01,-1.836444202467646392e-04,-1.620037437533028424e-12,7.746738305516203127e-01
2.000000000000000111e-01,-1.923348642094424576e-04,-1.733724275254644454e-12,8.032367443898067449e-01
2.071428571428571563e-01,-2.009998057275197425e-04,-1.833200258261058480e-12,8.317894231996518783e-01
2.142857142857142738e-01,-2.096218366745006279e-04,-1.918465386552270502e-12,8.603319099867263731e-01
2.214285714285714191e-01,-2.181836575374518361e-04,-1.890043677121866494e-12,8.888642681791480982e-01
2.285714285714285643e-01,-2.266681111962043360e-04,-2.074784788419492543e-12,9.173865814589134970e-01
2.357142857142857095e-01,-2.350582174983628647e-04,-2.160049916710704565e-12,9.458989535534101378e-01
2.428571428571428548e-01,-2.433372060011151916e-04,-2.160049916710704565e-12,9.744015079877499375e-01
2.500000000000000000e-01,-2.514885488835716387e-04,-2.330580173293128610e-12,1.002894387799983633e+00
2.571428571428571175e-01,-2.594959932906704125e-04,-2.344791028008330613e-12,1.031377755217974368e+00
2.642857142857142905e-01,-2.673435921707323359e-04,-2.458477865729946643e-12,1.059851791301113622e+00
2.714285714285714080e-01,-2.750157356103954953e-04,-2.557953848736360669e-12,1.088316695546012625e+00
2.785714285714285809e-01,-2.824971802368736462e-04,-2.600586412881966680e-12,1.116772685458258252e+00
2.857142857142856984e-01,-2.897730783786300890e-04,-2.700062395888380706e-12,1.145219996091157100e+00
2.928571428571428714e-01,-2.968290062028700049e-04,-2.756905814749188721e-12,1.173658879551680911e+00
2.999999999999999889e-01,-3.036509911424900565e-04,-2.799538378894794732e-12,1.202089604476540785e+00
3.071428571428571619e-01,-3.102255375040385843e-04,-2.870592652470804751e-12,1.230512455477736466e+00
3.142857142857142794e-01,-3.165396526583208470e-04,-2.955857780762016773e-12,1.258927732559726564e+00
3.214285714285714524e-01,-3.225808701756704977e-04,-2.984279490192420781e-12,1.287335750509299714e+00
3.285714285714285698e-01,-3.283372738991374717e-04,-3.026912054338026792e-12,1.315736838259894625e+00
3.357142857142856873e-01,-3.337975191470832215e-04,-3.154809746774844825e-12,1.344131338230340589e+00
3.428571428571428603e-01,-3.389508542142039005e-04,-3.112177182629238814e-12,1.372519605640533769e+00
3.499999999999999778e-01,-3.437871397409253404e-04,-3.240074875066056848e-12,1.400902007805825633e+00
3.571428571428571508e-01,-3.482968671590924714e-04,-3.225864020350854844e-12,1.429278923409086133e+00
3.642857142857142683e-01,-3.524711764413268611e-04,-3.282707439211662859e-12,1.457650741754818569e+00
3.714285714285714413e-01,-3.563018715624366450e-04,-3.296918293926864862e-12,1.486017862004246126e+00
3.785714285714285587e-01,-3.597814359324047473e-04,-3.339550858072470874e-12,1.514380692394453831e+00
3.857142857142857317e-01,-3.629030456835380392e-04,-3.367972567502874881e-12,1.542739649442026462e+00
3.928571428571428492e-01,-3.656605817781155565e-04,-3.453237695794086903e-12,1.571095157132546660e+00
4.000000000000000222e-01,-3.680486415760242380e-04,-3.467448550509288907e-12,1.599447646098496989e+00
4.071428571428571397e-01,-3.700625477449648315e-04,-3.410605131648480892e-12,1.627797552784528534e+00
4.142857142857143127e-01,-3.716983574264531853e-04,-3.510081114654894918e-12,1.656145318605425132e+00
4.214285714285714302e-01,-3.729528686022831607e-04,-3.481659405224490911e-12,1.684491389093622615e+00
4.285714285714285476e-01,-3.738236263330918518e-04,-3.481659405224490911e-12,1.712836213041455835e+00
4.357142857142857206e-01,-3.743089268937183078e-04,-3.495870259939692914e-12,1.741180241637067638e+00
