x,delta_B_density;T=100.0
0.000000000000000000e+00,-3.997630082827237530e+00
1.000000000000000000e+00,1.233249233583144644e-04
2.000000000000000000e+00,-3.074099282639686237e-03
3.000000000000000000e+00,3.460485076175023877e-03
4.000000000000000000e+00,1.473617084126410681e-03
5.000000000000000000e+00,-1.854328963290852172e-03
6.000000000000000000e+00,-8.883620178220530406e-04
7.000000000000000000e+00,1.057564585088544007e-03
8.000000000000000000e+00,-1.303339646086199011e-03
9.000000000000000000e+00,3.998635221068316703e+00
