seed,total_transfer,A_transfer,B_transfer
2.026090000000000000e+07,-6.391810717545354237e-04,-4.569215146688065943e-05,4.000115906067378546e+00
2.026090100000000000e+07,-3.630543808430530817e-04,-3.254021966192510718e-05,4.000331820884712286e+00
2.026090200000000000e+07,-5.945201456079018953e-04,9.821697176093380222e-05,4.000306932093618428e+00
2.026090300000000000e+07,-4.942677229902159297e-04,-1.776417091825521766e-05,3.999988629264469964e+00
2.026090400000000000e+07,-8.436891162535431476e-04,-2.309990436977216177e-05,4.000288341716322194e+00
2.026090500000000000e+07,9.327280175597252310e-05,-9.430455117609426452e-05,4.000361666880607459e+00
2.026090600000000000e+07,-9.016681371338819417e-04,-7.138119179650459500e-05,3.999995578838410282e+00
2.026090700000000000e+07,-1.028354425413269269e-03,-3.024207497634989750e-04,3.999893042064050164e+00
2.026090800000000000e+07,-2.518445417134529407e-04,-8.910020910057880883e-05,4.000275931417879960e+00
2.026090900000000000e+07,-4.376447843839059715e-04,-9.991309298129635863e-05,4.000345776394645725e+00
2.026091000000000000e+07,-2.553477308140372770e-04,-2.237654418237866594e-04,4.000319947939818377e+00
2.026091100000000000e+07,-1.179355552404004470e-03,2.973594657795786134e-05,3.999424714041056816e+00
