ramp_time,total_transfer,A_transfer,B_transfer
2.000000000000000111e-01,2.625925735495471258e-04,7.376080990439959351e-08,7.378313711594319813e-02
3.499999999999999778e-01,6.325029094060852231e-04,2.275138086815786664e-07,2.334326124831083149e-01
5.999999999999999778e-01,7.014560816918091746e-04,6.827028178335581288e-07,7.268376038133235184e-01
1.000000000000000000e+00,-2.536924096904868975e-03,2.010187433398868961e-06,2.020644322860370323e+00
1.800000000000000044e+00,-9.098729064861643678e-03,8.189266447189424980e-06,3.943089465103234659e+00
3.000000000000000000e+00,1.952495617667437955e-02,3.620131602666276649e-05,3.760633519277979175e+00
5.000000000000000000e+00,-5.943205669920459400e-04,1.906123251513847094e-04,4.123592263763739219e+00
1.000000000000000000e+01,-1.085840501978019290e-03,4.551248817019626358e-05,3.923241324946343589e+00
2.000000000000000000e+01,7.673275320608574646e-03,1.545675468574536637e-03,4.017744506682549677e+00
5.000000000000000000e+01,3.583693189392889167e-04,-6.045710628121980790e-06,4.002437013308361990e+00
1.000000000000000000e+02,-3.264383626966349539e-04,1.765528398500748608e-05,3.995646755026205810e+00
2.000000000000000000e+02,6.877129366120726672e-04,3.329516892236483727e-05,4.001049832675972695e+00
5.000000000000000000e+02,-2.084050195172437725e-05,1.094007545088260258e-04,4.000247302580381970e+00
