flux,total_charge_right,A_charge_right,B_charge_right;T=100.0
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.388888888888888942e-03,-9.226685993013461484e-08,-7.238654120556020644e-13,8.449126887288826993e-05
2.777777777777777884e-03,-5.542862000496029395e-07,-3.749001109554228606e-12,5.220875119933410247e-04
4.166666666666666609e-03,-1.767530968699304594e-06,-9.893419417039694963e-12,1.713625156132714267e-03
5.555555555555555768e-03,-4.151283502729086194e-06,-1.846078845346710295e-11,4.111458314915772405e-03
6.944444444444444926e-03,-8.196786683178913790e-06,-2.716138425284952973e-11,8.160691186833268773e-03
8.333333333333333218e-03,-1.450472451303141952e-05,-3.200106846179551212e-11,1.419559513166035458e-02
9.722222222222222376e-03,-2.381994267786069486e-05,-2.710009994189022109e-11,2.233589452443496270e-02
1.111111111111111154e-02,-3.705133100861957018e-05,-4.551914400963141816e-12,3.243046981956698716e-02
1.250000000000000069e-02,-5.525771021996916943e-05,4.571010236986694508e-11,4.407399918185372911e-02
1.388888888888888985e-02,-7.957914957934519862e-05,1.358841927867615595e-10,5.668814650229769825e-02
1.527777777777777901e-02,-1.111036167342760450e-04,2.800115694867599814e-10,6.963191314801786547e-02
1.666666666666666644e-02,-1.506809382894047644e-04,4.933200514756208577e-10,8.229932808052975446e-02
1.805555555555555733e-02,-1.987205117162105239e-04,7.910516686138180376e-10,9.417780191009672563e-02
1.944444444444444475e-02,-2.550218898749179175e-04,1.188259268758429243e-09,1.048660606302727061e-01
2.083333333333333565e-02,-3.186780037056635706e-04,1.703249985496313457e-09,1.140707572555301752e-01
2.222222222222222307e-02,-3.880613198239402095e-04,2.371623786245891097e-09,1.216048424142277540e-01
2.361111111111111049e-02,-4.608692843381945181e-04,3.280471894129277644e-09,1.273988098550828951e-01
2.500000000000000139e-02,-5.341887525593946862e-04,4.634121530955326307e-09,1.315181387024599857e-01
2.638888888888888881e-02,-6.045542947008542001e-04,6.854668832545485202e-09,1.341694349547557508e-01
2.777777777777777971e-02,-6.680184090326335422e-04,1.070082067400335291e-08,1.356810425558085953e-01
2.916666666666666713e-02,-7.202990750165838563e-04,1.735328680751990760e-08,1.364584226438019243e-01
3.055555555555555802e-02,-7.570891703672089079e-04,2.837078483253208105e-08,1.369299933164356275e-01
3.194444444444444892e-02,-7.745799557543620040e-04,4.538992826041976514e-08,1.375046092796932129e-01
3.333333333333333287e-02,-7.701690462473820276e-04,6.945030062155410633e-08,1.385535014204100079e-01
3.472222222222222376e-02,-7.432223043544183838e-04,9.990465166254125506e-08,1.404127458185993049e-01
3.611111111111111466e-02,-6.956851857129464634e-04,1.330430787760406020e-07,1.433883890947420525e-01
3.749999999999999861e-02,-6.323322219268234790e-04,1.608060467006566796e-07,1.477447608571109683e-01
3.888888888888888951e-02,-5.605163967521420432e-04,1.702326253294472735e-07,1.536688086721538227e-01
4.027777777777778040e-02,-4.894109035298299659e-04,1.444951180928910617e-07,1.612219069344611455e-01
4.166666666666667129e-02,-4.288761357544856878e-04,6.637386018581992175e-08,1.703035302881792390e-01
4.305555555555555525e-02,-3.881829224203769968e-04,-7.532098056373115469e-08,1.806496756665021408e-01
4.444444444444444614e-02,-3.748465133295297846e-04,-2.766900042416864380e-07,1.918730624008126995e-01
4.583333333333333703e-02,-3.937742549293687944e-04,-5.086708760870806145e-07,2.035310097551583652e-01
4.722222222222222099e-02,-4.468315709313941397e-04,-7.092007230369290482e-07,2.151930321513297883e-01
4.861111111111111188e-02,-5.328264671158322585e-04,-7.823384740035521645e-07,2.264819517242360192e-01
5.000000000000000278e-02,-6.478358025647779073e-04,-6.095918569926084274e-07,2.370787600935324591e-01
5.138888888888889367e-02,-7.857606698280505952e-04,-7.731304840774555487e-08,2.467029099987065877e-01
5.277777777777777762e-02,-9.389968790198821580e-04,8.800058886038186756e-07,2.550936387379820758e-01
5.416666666666666852e-02,-1.099122889348436161e-03,2.227347568606319328e-06,2.620163320926387485e-01
5.555555555555555941e-02,-1.257527141051539843e-03,3.782399280893855575e-06,2.673019626564840934e-01
5.694444444444444337e-02,-1.405915414241398764e-03,5.195416414416342832e-06,2.709065977414271131e-01
