ky,energy,edge_weight,ZA_expect,ZB_expect
-3.141592653589793116e+00,-8.872575802893820640e-01,4.315166383321084043e-01,3.760880495917716992e-15,1.000000000000000222e+00
-3.141592653589793116e+00,-8.872575802893813979e-01,4.315166383321078492e-01,2.359223927328438913e-16,-9.999999999999988898e-01
-3.141592653589793116e+00,-8.865195041006971310e-01,4.328194703932664589e-01,4.829470157119430951e-15,1.000000000000001110e+00
-3.141592653589793116e+00,-8.865195041006969090e-01,4.328194703932650711e-01,1.720845688165838180e-15,-9.999999999999993339e-01
-3.141592653589793116e+00,-7.748968435168608337e-01,1.000000000000000000e+00,2.775557561562767105e-16,1.000000000000000000e+00
-3.141592653589793116e+00,-7.748968435168601676e-01,1.000000000000000000e+00,1.110223024625156540e-16,-1.000000000000000000e+00
-3.141592653589793116e+00,-7.414624922443979749e-01,9.999999999999990008e-01,1.011421550792984680e-02,-9.999999999999990008e-01
-3.141592653589793116e+00,-7.413851080893506529e-01,1.000000000000001998e+00,-5.551115209106204115e-17,1.000000000000001998e+00
-3.141592653589793116e+00,-7.413851080893499867e-01,9.999999999999991118e-01,5.828670879282060990e-16,-9.999999999999991118e-01
-3.141592653589793116e+00,-7.358737840843405653e-01,9.999999999999993339e-01,-1.665334536937735304e-16,9.999999999999993339e-01
-3.141592653589793116e+00,-7.358737840843394551e-01,9.999999999999986677e-01,3.885780586177256767e-16,-9.999999999999986677e-01
-3.141592653589793116e+00,-6.871703107777256125e-01,1.000000000000000666e+00,4.777446740944162051e-02,1.000000000000000666e+00
-3.141592653589793116e+00,-3.055326423716111517e-01,9.999999999999998890e-01,-3.330669073875471100e-16,9.999999999999998890e-01
-3.141592653589793116e+00,-3.055326423716110407e-01,9.999999999999997780e-01,2.775557561562891351e-17,-9.999999999999997780e-01
-3.141592653589793116e+00,-2.529265820740485560e-01,9.999999999999993339e-01,-1.999600119960004418e-02,-9.999999999999993339e-01
-3.141592653589793116e+00,-1.441234776010709984e-01,1.000000000000000666e+00,-9.950371902099908183e-02,1.000000000000000666e+00
-3.141592653589793116e+00,1.944673576283889871e-01,1.000000000000000222e+00,1.665334536937734811e-16,1.000000000000000222e+00
-3.141592653589793116e+00,1.944673576283894312e-01,9.999999999999995559e-01,-3.330669073875469621e-16,-9.999999999999995559e-01
-3.141592653589793116e+00,2.471734079279510055e-01,1.000000000000000000e+00,1.999600119959918376e-02,-1.000000000000000000e+00
-3.141592653589793116e+00,3.583703034549738375e-01,1.000000000000000666e+00,9.950371902099905408e-02,1.000000000000000666e+00
-3.141592653589793116e+00,7.260713706696756420e-01,9.999999999999984457e-01,1.942448867796344421e-16,9.999999999999984457e-01
-3.141592653589793116e+00,7.260713706696757530e-01,1.000000000000000444e+00,-5.551115123125782702e-17,-1.000000000000000444e+00
-3.141592653589793116e+00,7.586185382715961989e-01,9.999999999999990008e-01,8.049116807325736988e-16,9.999999999999990008e-01
-3.141592653589793116e+00,7.586185382715967540e-01,1.000000000000000222e+00,4.718447854656910366e-16,-1.000000000000000222e+00
-3.141592653589793116e+00,7.586524221030676030e-01,9.999999999999988898e-01,-9.884839705344539151e-03,-9.999999999999988898e-01
-3.141592653589793116e+00,7.641612879602733832e-01,9.999999999999993339e-01,1.110223024623474171e-16,-9.999999999999993339e-01
-3.141592653589793116e+00,7.641612879602743824e-01,1.000000000000000888e+00,-2.636779683484765519e-16,1.000000000000000888e+00
-3.141592653589793116e+00,8.143053756559467393e-01,1.000000000000000444e+00,-5.210695329888065386e-02,1.000000000000000444e+00
-3.141592653589793116e+00,8.784788902960929402e-01,4.444803817470729390e-01,1.582067810090845704e-15,-1.000000000000000222e+00
-3.141592653589793116e+00,8.784788902960930512e-01,4.444803817470729390e-01,-8.049116928532394779e-16,1.000000000000000000e+00
-3.141592653589793116e+00,8.791545112818511809e-01,4.431660226824574722e-01,-2.942091015256664832e-15,1.000000000000000222e+00
-3.141592653589793116e+00,8.791545112818512919e-01,4.431660226824578053e-01,-8.326672685125638900e-17,-1.000000000000000888e+00
-3.106686068549906476e+00,-8.879450967284719942e-01,4.315916616933689887e-01,-1.230309171796110284e-03,9.999999997059720869e-01
-3.106686068549906476e+00,-8.879450967284718832e-01,4.315916616933690997e-01,1.230309171801950013e-03,-9.999999997059717538e-01
-3.106686068549906476e+00,-8.872073642406558269e-01,4.328784135624533236e-01,-1.979283328425512131e-03,-1.000000000000000666e+00
-3.106686068549906476e+00,-8.872073642405122751e-01,4.328784135616882689e-01,1.979283329223654932e-03,9.999999999999995559e-01
-3.106686068549906476e+00,-7.757049991053179827e-01,9.999999999971614928e-01,4.342065890273777429e-03,-9.999999999999998890e-01
-3.106686068549906476e+00,-7.757049991053172056e-01,9.999999999971619369e-01,-4.342065890273319462e-03,1.000000000000000222e+00
-3.106686068549906476e+00,-7.421963240618767443e-01,9.999995422405313361e-01,-2.666352846572403088e-04,9.999999999999932276e-01
-3.106686068549906476e+00,-7.421963240618754121e-01,9.999995422405301149e-01,2.666352846548985947e-04,-9.999999999999924505e-01
-3.106686068549906476e+00,-7.421616497956783354e-01,9.999999999982642773e-01,8.516958742920599859e-03,-9.999999999999996669e-01
-3.106686068549906476e+00,-7.366848674180049850e-01,9.999995485218053926e-01,8.275264678644328291e-04,-1.000000000000000222e+00
-3.106686068549906476e+00,-7.366848317727262563e-01,9.999995485218493574e-01,-8.271927324315260510e-04,9.999999999999984457e-01
-3.106686068549906476e+00,-6.886259407831154533e-01,9.999999999991137090e-01,4.176850044490539038e-02,9.999999999999991118e-01
-3.106686068549906476e+00,-3.079565507819514436e-01,1.000000000000000444e+00,-1.382574194007435420e-01,1.000000000000000444e+00
-3.106686068549906476e+00,-3.079565507819513881e-01,1.000000000000001554e+00,1.382574194007435420e-01,-1.000000000000001554e+00
-3.106686068549906476e+00,-2.560402455354094386e-01,9.999999999999998890e-01,-1.576034945980112068e-01,-9.999999999999998890e-01
-3.106686068549906476e+00,-1.430723189405184170e-01,9.999999999999998890e-01,3.956706669222725958e-02,9.999999999999998890e-01
-3.106686068549906476e+00,1.968913483045596768e-01,9.999999999999998890e-01,1.382574271098874485e-01,9.999999999999998890e-01
-3.106686068549906476e+00,1.968913483045598711e-01,1.000000000000000444e+00,-1.382574271098865326e-01,-1.000000000000000444e+00
-3.106686068549906476e+00,2.502871017118394881e-01,1.000000000000000666e+00,1.576034983416841340e-01,-1.000000000000000666e+00
-3.106686068549906476e+00,3.573190301678573211e-01,9.999999999999997780e-01,-3.956707333087176870e-02,9.999999999999997780e-01
-3.106686068549906476e+00,7.268794773089923833e-01,9.999999999985558219e-01,4.342203740971550818e-03,-9.999999999999994449e-01
-3.106686068549906476e+00,7.268794773089929384e-01,9.999999999985572652e-01,-4.342203740971273263e-03,1.000000000000000888e+00
-3.106686068549906476e+00,7.593435454838443066e-01,9.999999999976244558e-01,-1.149140163517524925e-02,-9.999999999999986677e-01
-3.106686068549906476e+00,7.594296888530603917e-01,9.999995068904722340e-01,-2.664595686443496300e-04,9.999999999999927836e-01
-3.106686068549906476e+00,7.594296888530607248e-01,9.999995068904733442e-01,2.664595686438869467e-04,-9.999999999999938938e-01
-3.106686068549906476e+00,7.649723347707159116e-01,9.999994987545504088e-01,8.277074583390202833e-04,-9.999999999999991118e-01
-3.106686068549906476e+00,7.649723662209264585e-01,9.999994987544259528e-01,-8.272471193111236194e-04,9.999999999999985567e-01
-3.106686068549906476e+00,8.156095007649117878e-01,9.999999999913989912e-01,-5.819545027427792255e-02,1.000000000000000000e+00
-3.106686068549906476e+00,8.791664927557506504e-01,4.444024062138054454e-01,-8.470147962510910303e-03,-9.999999964077191938e-01
-3.106686068549906476e+00,8.791664927557507614e-01,4.444024062138051123e-01,8.470147962506915235e-03,9.999999964077186387e-01
-3.106686068549906476e+00,8.798425047542111077e-01,4.431032102387933436e-01,7.757088699600241111e-03,-1.000000000000000222e+00
-3.106686068549906476e+00,8.798425047547226985e-01,4.431032102450042642e-01,-7.757088702893278828e-03,1.000000000000000888e+00
-3.071779483510019837e+00,-8.899886858924986877e-01,4.317824127414909841e-01,2.426376865669348324e-03,-9.949732329807893239e-01
-3.071779483510019837e+00,-8.899886858924985766e-01,4.317824127414900959e-01,-2.426376865672242276e-03,9.949732329807883247e-01
-3.071779483510019837e+00,-8.892516138425916594e-01,4.330190288158628498e-01,-3.936187758615123690e-03,-1.000000000000000444e+00
-3.071779483510019837e+00,-8.892516138063182307e-01,4.330190286209695261e-01,3.936187932051470571e-03,1.000000000000000222e+00
-3.071779483510019837e+00,-7.781236105874442810e-01,9.999999992757350187e-01,-8.676586134503259246e-03,1.000000000000001110e+00
-3.071779483510019837e+00,-7.781236105874442810e-01,9.999999992757331313e-01,8.676586134504116199e-03,-9.999999999999992228e-01
-3.071779483510019837e+00,-7.446170330581730612e-01,9.999926886472400023e-01,-5.349470123820063627e-04,9.999999823740280958e-01
-3.071779483510019837e+00,-7.446170330581723951e-01,9.999926886472407794e-01,5.349470123814098347e-04,-9.999999823740284288e-01
-3.071779483510019837e+00,-7.444782183467205661e-01,9.999999995546933196e-01,6.921482830904881860e-03,-9.999999999999991118e-01
-3.071779483510019837e+00,-7.391050191997672325e-01,9.999927911437862527e-01,1.664505603855698668e-03,-1.000000000000000444e+00
-3.071779483510019837e+00,-7.391044454808657349e-01,9.999927911536852232e-01,-1.658792101788786246e-03,1.000000000000000888e+00
-3.071779483510019837e+00,-6.916788608527053572e-01,9.999999997726518597e-01,3.582353641982773118e-02,1.000000000000000000e+00
-3.071779483510019837e+00,-3.150776896450836473e-01,9.999999999999993339e-01,-2.687621521289462745e-01,1.000000000000000000e+00
-3.071779483510019837e+00,-3.150776896450835363e-01,9.999999999999995559e-01,2.687621521289481619e-01,-1.000000000000000000e+00
-3.071779483510019837e+00,-2.638103184300763515e-01,9.999999999999993339e-01,-2.864939649012626099e-01,-9.999999999999997780e-01
-3.071779483510019837e+00,-1.468483187961936165e-01,9.999999999999994449e-01,1.762269346589005747e-01,9.999999999999998890e-01
-3.071779483510019837e+00,2.040137204640763979e-01,9.999999999999991118e-01,2.687623985519806413e-01,9.999999999999995559e-01
-3.071779483510019837e+00,2.040137204640768975e-01,1.000000000000001332e+00,-2.687623985519816405e-01,-1.000000000000001554e+00
-3.071779483510019837e+00,2.580576298240633282e-01,1.000000000000000222e+00,2.864940703376698816e-01,-1.000000000000000444e+00
-3.071779483510019837e+00,3.610933241488394896e-01,9.999999999999992228e-01,-1.762268705397442570e-01,9.999999999999998890e-01
-3.071779483510019837e+00,7.292973504805430052e-01,9.999999996330311003e-01,-8.680977174216340450e-03,9.999999999999977796e-01
-3.071779483510019837e+00,7.292973504805435603e-01,9.999999996330336538e-01,8.680977174215995240e-03,-1.000000000000000000e+00
-3.071779483510019837e+00,7.616516928966570177e-01,9.999999994037026552e-01,-1.312063908239481831e-02,-9.999999999999990008e-01
-3.071779483510019837e+00,7.618494221001045341e-01,9.999921024901274880e-01,5.293486461216684444e-04,-9.999999979713878329e-01
-3.071779483510019837e+00,7.618494221001047562e-01,9.999921024901267108e-01,-5.293486461210062137e-04,9.999999979713872778e-01
-3.071779483510019837e+00,7.673919395789192688e-01,9.999919680620183993e-01,1.669641089266411240e-03,-9.999999999999995559e-01
-3.071779483510019837e+00,7.673924332976168605e-01,9.999919680345059625e-01,-1.662329424938199362e-03,9.999999999999993339e-01
-3.071779483510019837e+00,8.185120668367851238e-01,9.999999977704948639e-01,-6.431375118430357474e-02,9.999999999999997780e-01
-3.071779483510019837e+00,8.812111088609584364e-01,4.441377087569480242e-01,1.689140363602453787e-02,9.993375271594624465e-01
-3.071779483510019837e+00,8.812111088609591025e-01,4.441377087569479132e-01,-1.689140363601548608e-02,-9.993375271594616693e-01
-3.071779483510019837e+00,8.818886190312483775e-01,4.428856728236436613e-01,1.547739797455875525e-02,-9.999999999999981126e-01
-3.071779483510019837e+00,8.818886191642710815e-01,4.428856744470806572e-01,-1.547739891686500391e-02,9.999999999999998890e-01
-3.036872898470133197e+00,-8.933320020435004949e-01,4.319856467735019856e-01,3.518260108087192025e-03,-9.735683927527385428e-01
-3.036872898470133197e+00,-8.933320020435002728e-01,4.319856467735019856e-01,-3.518260108084809816e-03,9.735683927527380987e-01
-3.036872898470133197e+00,-8.925948037315198924e-01,4.331324279485785356e-01,-5.860952218302835880e-03,-9.999999999999983347e-01
-3.036872898470133197e+00,-8.925948028144711222e-01,4.331324229868341869e-01,5.860955887422056136e-03,9.999999999999988898e-01
