ky,energy,edge_weight,ZA_expect,ZB_expect
-3.141592653589793116e+00,-9.493865971960655514e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00
-3.141592653589793116e+00,-9.254737014703461329e-01,1.000000000000000444e+00,1.000000000000000444e+00,1.000000000000000444e+00
-3.141592653589793116e+00,-5.553264237161109618e-02,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00
-3.141592653589793116e+00,-5.553264237161108924e-02,9.999999999999998890e-01,-9.999999999999998890e-01,9.999999999999998890e-01
-3.141592653589793116e+00,-5.553264237161100597e-02,1.000000000000000222e+00,-1.000000000000000222e+00,-1.000000000000000222e+00
-3.141592653589793116e+00,-5.553264237161096434e-02,1.000000000000000444e+00,1.000000000000000444e+00,1.000000000000000444e+00
-3.141592653589793116e+00,-7.876587073048384180e-03,9.999999999999992228e-01,-9.999999999999992228e-01,-9.999999999999992228e-01
-3.141592653589793116e+00,2.123412926951526256e-03,9.999999999999991118e-01,9.999999999999991118e-01,-9.999999999999991118e-01
-3.141592653589793116e+00,8.212341292695132799e-02,9.999999999999995559e-01,-9.999999999999995559e-01,9.999999999999995559e-01
-3.141592653589793116e+00,1.321234129269514557e-01,1.000000000000000444e+00,1.000000000000000444e+00,1.000000000000000444e+00
-3.106686068549906476e+00,-9.489104886450089316e-01,9.999999988362930914e-01,-9.999999999999990008e-01,9.999999999999990008e-01
-3.106686068549906476e+00,-9.280293480766029779e-01,9.999999997258939288e-01,9.999999999999998890e-01,9.999999999999998890e-01
-3.106686068549906476e+00,-9.043211587665660189e-02,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00
-3.106686068549906476e+00,-9.043211587665656026e-02,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00
-3.106686068549906476e+00,-4.277607338604661608e-02,9.999999999999984457e-01,-9.999999999999984457e-01,-9.999999999999984457e-01
-3.106686068549906476e+00,-2.063312267233487901e-02,9.999999999999997780e-01,-9.999999999999997780e-01,-9.999999999999997780e-01
-3.106686068549906476e+00,-2.063312267233486166e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-3.106686068549906476e+00,3.702291627944710034e-02,9.999999999999991118e-01,9.999999999999991118e-01,-9.999999999999991118e-01
-3.106686068549906476e+00,9.722387496357171033e-02,9.999999999999996669e-01,9.999999999999996669e-01,9.999999999999996669e-01
-3.106686068549906476e+00,1.170228865002527763e-01,9.999999999999981126e-01,-9.999999999999981126e-01,9.999999999999981126e-01
