epsilon,energy_gap,label_resolution_gap,C_pp,C_pm,C_mp,C_mm,chi
0.000000000000000000e+00,1.999999999999999778e+00,1.999999999999997335e+00,9.999999999999990008e-01,-1.000000000000001554e+00,-1.000000000000001554e+00,9.999999999999990008e-01,4.000000000000000888e+00
6.666666666666666574e-02,1.939430048544235952e+00,1.997669414488745465e+00,9.999999999999996669e-01,-1.000000000000001998e+00,-1.000000000000001110e+00,1.000000000000000000e+00,4.000000000000002665e+00
1.333333333333333315e-01,1.878305282688667699e+00,1.990723408823310558e+00,9.999999999999995559e-01,-9.999999999999990008e-01,-9.999999999999994449e-01,9.999999999999998890e-01,3.999999999999998224e+00
2.000000000000000111e-01,1.817083432380233621e+00,1.979294826015900455e+00,9.999999999999994449e-01,-9.999999999999998890e-01,-1.000000000000000000e+00,1.000000000000001776e+00,4.000000000000000888e+00
2.666666666666666630e-01,1.756128334204794417e+00,1.963596170342603475e+00,1.000000000000000222e+00,-1.000000000000000444e+00,-9.999999999999991118e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.333333333333333148e-01,1.695731639586127049e+00,1.943909240063255606e+00,1.000000000000000444e+00,-1.000000000000002220e+00,-1.000000000000001776e+00,9.999999999999987788e-01,4.000000000000003553e+00
4.000000000000000222e-01,1.636129865532211181e+00,1.920572080677709348e+00,9.999999999999981126e-01,-9.999999999999995559e-01,-9.999999999999995559e-01,9.999999999999987788e-01,3.999999999999996003e+00
4.666666666666666741e-01,1.577517488759450082e+00,1.893964343707150721e+00,1.000000000000000666e+00,-1.000000000000000222e+00,-9.999999999999994449e-01,9.999999999999998890e-01,4.000000000000000000e+00
5.333333333333333259e-01,1.520056915672564513e+00,1.864492163396743063e+00,1.000000000000000444e+00,-1.000000000000000444e+00,-1.000000000000000222e+00,1.000000000000000222e+00,4.000000000000000888e+00
5.999999999999999778e-01,1.463886073369020435e+00,1.832573568872859937e+00,1.000000000000000888e+00,-9.999999999999985567e-01,-9.999999999999978906e-01,1.000000000000000666e+00,3.999999999999998224e+00
6.666666666666666297e-01,1.409124220415040707e+00,1.798625260925171165e+00,9.999999999999994449e-01,-1.000000000000000000e+00,-9.999999999999998890e-01,9.999999999999996669e-01,3.999999999999999112e+00
7.333333333333332815e-01,1.355876433393901070e+00,1.763051339342774693e+00,1.000000000000000444e+00,-9.999999999999995559e-01,-9.999999999999987788e-01,1.000000000000000000e+00,3.999999999999998668e+00
8.000000000000000444e-01,1.302335665046251201e+00,1.726234308827417019e+00,1.000000000000000666e+00,-1.000000000000000444e+00,-9.999999999999998890e-01,9.999999999999998890e-01,4.000000000000000888e+00
8.666666666666666963e-01,1.248610691646341087e+00,1.688528453437653010e+00,1.000000000000000888e+00,-9.999999999999995559e-01,-9.999999999999996669e-01,9.999999999999998890e-01,4.000000000000000000e+00
9.333333333333333481e-01,1.195922414912343967e+00,1.650255475297646379e+00,1.000000000000000222e+00,-1.000000000000001110e+00,-1.000000000000000888e+00,9.999999999999995559e-01,4.000000000000001776e+00
1.000000000000000000e+00,1.144308059414218537e+00,1.611702154846942125e+00,1.000000000000000000e+00,-9.999999999999998890e-01,-9.999999999999998890e-01,9.999999999999993339e-01,3.999999999999999112e+00
1.066666666666666652e+00,1.093798585643318777e+00,1.573119708225460212e+00,9.999999999999993339e-01,-1.000000000000000222e+00,-9.999999999999995559e-01,9.999999999999988898e-01,3.999999999999998224e+00
1.133333333333333304e+00,1.044419531482015717e+00,1.534724485567695362e+00,1.000000000000000222e+00,-9.999999999999998890e-01,-1.000000000000000666e+00,1.000000000000000000e+00,4.000000000000000888e+00
1.199999999999999956e+00,9.961917673564968378e-01,1.496699660726285241e+00,1.000000000000000000e+00,-9.999999999999993339e-01,-1.000000000000000222e+00,1.000000000000000888e+00,4.000000000000000000e+00
1.266666666666666607e+00,9.491321868629080116e-01,1.459197595742717013e+00,9.999999999999996669e-01,-1.000000000000000666e+00,-1.000000000000001554e+00,9.999999999999995559e-01,4.000000000000001776e+00
1.333333333333333259e+00,9.032543517409195033e-01,1.422342610753101866e+00,1.000000000000000888e+00,-1.000000000000001332e+00,-1.000000000000001332e+00,1.000000000000000000e+00,4.000000000000003553e+00
1.399999999999999911e+00,8.585691080092070493e-01,1.386233942759883542e+00,1.000000000000000222e+00,-1.000000000000001332e+00,-1.000000000000000666e+00,1.000000000000000222e+00,4.000000000000002665e+00
1.466666666666666563e+00,8.150851888307275583e-01,1.350948728289330436e+00,9.999999999999995559e-01,-1.000000000000000000e+00,-1.000000000000000222e+00,9.999999999999998890e-01,4.000000000000000000e+00
1.533333333333333215e+00,7.728098192170410607e-01,1.316544891357536162e+00,1.000000000000000222e+00,-9.999999999999987788e-01,-1.000000000000000666e+00,1.000000000000000888e+00,4.000000000000000888e+00
1.600000000000000089e+00,7.317493380081550036e-01,1.283063857372112038e+00,9.999999999999996669e-01,-9.999999999999995559e-01,-9.999999999999994449e-01,1.000000000000000666e+00,3.999999999999999112e+00
