epsilon,gap_A,gap_B_given_Aplus,gap_B_given_Aminus,ent_midgap_A,ent_midgap_B_Aplus,ent_midgap_B_Aminus
0.000000000000000000e+00,1.999999999999998002e+00,1.999999999999998668e+00,1.999999999999998668e+00,4.999999999999995004e-01,4.999999999999995004e-01,4.999999999999995004e-01
2.000000000000000111e-01,1.972110097297362863e+00,1.981617922196315718e+00,1.981617922196317494e+00,4.930275243243406602e-01,4.952552467342327680e-01,4.952552467342332121e-01
4.000000000000000222e-01,1.894970250680137358e+00,1.929518601456073235e+00,1.929518601456073901e+00,4.737425626700342840e-01,4.818300874105616027e-01,4.818300874105617693e-01
6.000000000000000888e-01,1.784378808683241502e+00,1.851500832981454625e+00,1.851500832981453737e+00,4.460947021708102644e-01,4.617871775042650673e-01,4.617871775042649563e-01
8.000000000000000444e-01,1.657768517605197944e+00,1.757153755059057909e+00,1.757153755059058575e+00,4.144421294012994861e-01,4.376431438153851050e-01,4.376431438153853271e-01
1.000000000000000000e+00,1.528751251803746936e+00,1.654879211325682498e+00,1.654879211325681609e+00,3.821878129509366784e-01,4.115561784670122014e-01,4.115561784670120904e-01
1.200000000000000178e+00,1.405683774696798505e+00,1.549101804670550919e+00,1.549101804670550475e+00,3.514209436741994597e-01,3.846830273774329845e-01,3.846830273774331510e-01
1.400000000000000133e+00,1.292640282807614671e+00,1.446323217060201172e+00,1.446323217060199617e+00,3.231600707019036678e-01,3.586738313455960503e-01,3.586738313455955507e-01
1.600000000000000089e+00,1.190950413685372578e+00,1.349430372912621579e+00,1.349430372912619802e+00,2.977376034213430889e-01,3.342426616977043907e-01,3.342426616977038911e-01
1.800000000000000044e+00,1.100445029666020424e+00,1.259820847538818178e+00,1.259820847538817734e+00,2.751112574165050506e-01,3.117208429748173915e-01,3.117208429748173359e-01
