epsilon,determinant_line,projected,gauss_codazzi,projected_plus_correction,max_pointwise_residual
0.000000000000000000e+00,3.999999997382880590e+00,3.999999997382880590e+00,-2.568939876637982968e-29,3.999999997382880590e+00,2.220446049250305685e-16
1.333333333333333315e-01,3.999999997591327627e+00,3.997672674746746591e+00,2.327322480504719071e-03,3.999999997227251303e+00,6.515890180105197370e-07
2.666666666666666630e-01,3.999999997013280684e+00,3.990853450227791477e+00,9.146545529730203128e-03,3.999999995757521631e+00,2.027216707754943932e-06
4.000000000000000222e-01,3.999999992958095163e+00,3.979771449473237244e+00,2.022854002610481941e-02,3.999999989499341879e+00,4.365602926599911927e-06
5.333333333333333259e-01,3.999999978704339210e+00,3.964633267399157113e+00,3.536669957070390224e-02,3.999999966969860932e+00,7.959986743456132219e-06
6.666666666666666297e-01,3.999999926927879645e+00,3.945633114997681545e+00,5.436676875827212846e-02,3.999999883755953611e+00,1.355589459363761365e-05
8.000000000000000444e-01,3.999999734012886776e+00,3.922967378492225876e+00,7.703219446452856667e-02,3.999999572956754346e+00,2.635183659108111115e-05
9.333333333333333481e-01,3.999999024615854104e+00,3.896844927818744253e+00,1.031534991741008406e-01,3.999998426992845246e+00,5.561412875883069151e-05
1.066666666666666652e+00,3.999996462339733494e+00,3.867490521140822146e+00,1.325037544502846998e-01,3.999994275591106874e+00,1.393855963467451053e-04
1.199999999999999956e+00,3.999987377205725725e+00,3.835140841859614458e+00,1.648386504911478201e-01,3.999979492350762111e+00,3.745453264271982052e-04
1.333333333333333259e+00,3.999955929436856295e+00,3.800028886369552161e+00,1.998991886891979541e-01,3.999928075058750032e+00,9.183344931591175264e-04
1.466666666666666563e+00,3.999851294577610794e+00,3.762340262362126708e+00,2.374164236534972439e-01,3.999756686015623952e+00,2.113404591846584912e-03
1.600000000000000089e+00,3.999523899394850535e+00,3.722103280410663739e+00,2.771193056891763651e-01,3.999222586099840271e+00,4.633885837439885580e-03
