lambda,mean_block_commutator_norm
0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,7.434859195583237365e-03
1.250000000000000000e-01,1.486783425901335234e-02
1.875000000000000000e-01,2.229853621596269292e-02
2.500000000000000000e-01,2.972657536332210665e-02
3.125000000000000000e-01,3.715155101624136036e-02
3.750000000000000000e-01,4.457304129194478159e-02
4.375000000000000000e-01,5.199059305996458352e-02
5.000000000000000000e-01,5.940371218832890543e-02
5.625000000000000000e-01,6.681185420896058880e-02
6.250000000000000000e-01,7.421441551360617728e-02
6.875000000000000000e-01,8.161072517526586634e-02
7.500000000000000000e-01,8.900003747107280982e-02
8.125000000000000000e-01,9.638152516279056836e-02
8.750000000000000000e-01,1.037542735723517157e-01
9.375000000000000000e-01,1.111172754735835488e-01
1.000000000000000000e+00,1.184694268084069552e-01
1.062500000000000000e+00,1.258095232268066632e-01
1.125000000000000000e+00,1.331362574447484681e-01
1.187500000000000000e+00,1.404482174126276683e-01
1.250000000000000000e+00,1.477438852881762521e-01
