term,Pauli_string,coefficient,control_role
B1,I tau_x sigma_x,n1/2,Yang pair coupling
B2,kappa_z tau_x sigma_x,n1/2,kappa-conditioned Yang pair coupling
B3,I tau_x sigma_y,n2/2,Yang pair coupling
B4,kappa_z tau_x sigma_y,n2/2,kappa-conditioned Yang pair coupling
B5,I tau_x sigma_z,n3/2,Yang pair coupling
B6,kappa_z tau_x sigma_z,n3/2,kappa-conditioned Yang pair coupling
B7,I tau_y I,n4/2,Yang pair coupling
B8,kappa_z tau_y I,n4/2,kappa-conditioned Yang pair coupling
D1,I tau_z I,(n5-1)/2,diagonal detuning
D2,kappa_z tau_z I,(n5+1)/2,conditional diagonal detuning
M0,kappa_x,0.175 lambda,structured interblock pair coupling
M1,kappa_y tau_x,lambda n1/(2 sqrt(5)),structured interblock pair coupling
M2,kappa_y tau_z sigma_x,lambda n2/(2 sqrt(5)),structured interblock pair coupling
M3,kappa_x tau_y sigma_z,lambda n3/(2 sqrt(5)),structured interblock pair coupling
M4,kappa_z tau_x sigma_y,lambda n4/(2 sqrt(5)),structured interblock pair coupling
M5,tau_y sigma_x,lambda n5/(2 sqrt(5)),structured pair coupling
