lambda,min_sampled_gap,Weyl_global_lower_bound
0.000000000000000000e+00,1.999999999999998002e+00,2.000000000000000000e+00
5.000000000000000278e-02,1.968361769590572852e+00,1.932500000000000107e+00
1.000000000000000056e-01,1.936861547629927127e+00,1.864999999999999991e+00
1.500000000000000222e-01,1.905503664718394496e+00,1.797499999999999876e+00
2.000000000000000111e-01,1.874292613559832565e+00,1.729999999999999982e+00
2.500000000000000000e-01,1.843233054907715829e+00,1.662500000000000089e+00
3.000000000000000444e-01,1.812209133638568836e+00,1.594999999999999973e+00
3.500000000000000333e-01,1.781160143032035403e+00,1.527499999999999858e+00
4.000000000000000222e-01,1.750185965601538163e+00,1.459999999999999964e+00
4.500000000000000111e-01,1.719288002459176790e+00,1.392500000000000071e+00
5.000000000000000000e-01,1.688467691203101584e+00,1.324999999999999956e+00
5.500000000000000444e-01,1.657726507147678330e+00,1.257499999999999840e+00
6.000000000000000888e-01,1.627065964603419346e+00,1.189999999999999947e+00
6.500000000000000222e-01,1.596487618209547765e+00,1.122500000000000053e+00
7.000000000000000666e-01,1.565993064322469097e+00,1.054999999999999716e+00
7.500000000000000000e-01,1.535583942463919049e+00,9.874999999999998224e-01
8.000000000000000444e-01,1.505261936833047987e+00,9.199999999999999289e-01
8.500000000000000888e-01,1.475028777887511744e+00,8.524999999999998135e-01
9.000000000000000222e-01,1.444886243999355724e+00,7.849999999999999201e-01
9.500000000000000666e-01,1.414836163192675134e+00,7.174999999999998046e-01
1.000000000000000000e+00,1.384880414971181306e+00,6.499999999999999112e-01
1.050000000000000044e+00,1.354987529523417056e+00,5.824999999999997957e-01
1.100000000000000089e+00,1.325168682373824680e+00,5.149999999999996803e-01
1.150000000000000133e+00,1.295447333836446280e+00,4.474999999999997868e-01
1.200000000000000178e+00,1.265826036610134819e+00,3.799999999999996714e-01
1.250000000000000000e+00,1.236307439679390940e+00,3.125000000000000000e-01
