kind_code,target,shots_per_setting,settings_per_parameter_point,shots_per_parameter_point,equatorial_points_per_family,total_equatorial_shots_per_family,one_time_pole_calibrations,W3_clean_grid,mean_winding,std_winding,mean_projector_distance_rms,std_projector_distance_rms,mean_subspace_fidelity,std_subspace_fidelity,mean_min_patch_overlap,minimum_patch_overlap,mean_parity_margin,minimum_parity_margin,parity_margin_10th_percentile,parity_correct_rate,parity_correct_ci_low,parity_correct_ci_high,integer_correct_rate
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,9.583340180861273927e-01,5.021123933137510154e-01,8.637613956378661917e-02,3.354870306603969232e-01,4.318137856533045549e-03,8.874299924072672763e-01,2.901422602511543117e-03,4.012449115580820486e-02,1.686427375376461143e-03,6.612109904444261888e-02,1.174309336211876165e-03,8.328772828335478245e-03,5.699999999999999512e-01,4.721538954921230546e-01,6.626670147588987758e-01,5.699999999999999512e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,2.700000000000000000e+01,1.350000000000000000e+03,1.280000000000000000e+02,1.728000000000000000e+05,2.000000000000000000e+00,9.583340180861273927e-01,5.984872337728877056e-01,8.002364659314270545e-02,3.032417061685118154e-01,3.588003389543670957e-03,9.080317226093700400e-01,2.181249754563653002e-03,7.646213622255233766e-02,9.502862795139541824e-03,1.079891098807115729e-01,1.019860407160344540e-03,1.988993717359720595e-02,8.800000000000000044e-01,8.018790057328857301e-01,9.300059356298051583e-01,8.800000000000000044e-01
0.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,2.700000000000000000e+01,1.620000000000000000e+03,1.280000000000000000e+02,2.073600000000000000e+05,2.000000000000000000e+00,9.583340180861273927e-01,6.431063375605917676e-01,5.870268228411015116e-02,2.782526164983510353e-01,3.342329745865050498e-03,9.225644219553728043e-01,1.859736028978732896e-03,9.783025867578963586e-02,1.091929834600713356e-02,1.435172003813367514e-01,1.026027246979976937e-03,7.101248358935827176e-02,9.899999999999999911e-01,9.455138038212945739e-01,9.982325679358593495e-01,9.899999999999999911e-01
0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e+01,2.700000000000000000e+01,2.025000000000000000e+03,1.280000000000000000e+02,2.592000000000000000e+05,2.000000000000000000e+00,9.583340180861273927e-01,7.010060802265271063e-01,5.053543148596982559e-02,2.495902987772832260e-01,3.131867335042752640e-03,9.376949722491922934e-01,1.561213226078187301e-03,1.391439020393302750e-01,7.081965261351794161e-02,2.010060802265269675e-01,4.991682823893095478e-02,1.411877273969900370e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,2.000000000000000000e+00,9.583340180861273927e-01,7.704057707484638362e-01,3.574541336936615243e-02,2.176171526489816543e-01,2.901532447416275539e-03,9.526344401713119359e-01,1.266431802574501369e-03,1.713511141987977826e-01,7.786000438854523420e-02,2.704057707484640583e-01,1.659661497066498015e-01,2.224516050409965362e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e+02,2.700000000000000000e+01,3.375000000000000000e+03,1.280000000000000000e+02,4.320000000000000000e+05,2.000000000000000000e+00,9.583340180861273927e-01,8.067096516160092712e-01,3.021181164634243257e-02,1.951737192735507886e-01,2.160670185406042467e-03,9.619025974942355672e-01,8.433633486282197944e-04,1.927096130631863191e-01,1.131047130554360958e-01,3.067096516160095487e-01,2.042408196724685432e-01,2.723124330455606867e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+02,2.700000000000000000e+01,4.050000000000000000e+03,1.280000000000000000e+02,5.184000000000000000e+05,2.000000000000000000e+00,9.583340180861273927e-01,8.280647079302627667e-01,2.362663791870842078e-02,1.784663705292887925e-01,2.227796444805590134e-03,9.681448411438731139e-01,7.960729829415649382e-04,2.108924267521741225e-01,1.497242474034516657e-01,3.280647079302628777e-01,2.722300608044181391e-01,2.974595751841899172e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.750000000000000000e+02,2.700000000000000000e+01,4.725000000000000000e+03,1.280000000000000000e+02,6.048000000000000000e+05,2.000000000000000000e+00,9.583340180861273927e-01,8.504122740269807190e-01,2.133633655232257398e-02,1.652532485174451338e-01,1.910694857678991955e-03,9.726877496071406615e-01,6.321809364562989888e-04,2.261342610915578200e-01,1.868101437870546278e-01,3.504122740269807190e-01,2.999668523335647929e-01,3.205346282772839617e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+02,2.700000000000000000e+01,5.400000000000000000e+03,1.280000000000000000e+02,6.912000000000000000e+05,2.000000000000000000e+00,9.583340180861273927e-01,8.635417390971318330e-01,1.778853204803198390e-02,1.546620098982432745e-01,1.907115415023653057e-03,9.760760619759217827e-01,5.903738202618487264e-04,2.344131980868948972e-01,1.808203594631136446e-01,3.635417390971317775e-01,3.260150347415488037e-01,3.429221226928900190e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+02,2.700000000000000000e+01,8.100000000000000000e+03,1.280000000000000000e+02,1.036800000000000000e+06,2.000000000000000000e+00,9.583340180861273927e-01,8.934095832273598603e-01,1.254150497727133697e-02,1.266275636437682317e-01,1.435384608561953703e-03,9.839634203999584328e-01,3.641098751420221023e-04,2.589964130098074135e-01,2.243454569974974167e-01,3.934095832273599158e-01,3.633656443311917839e-01,3.767689766942696750e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+02,2.700000000000000000e+01,1.350000000000000000e+04,1.280000000000000000e+02,1.728000000000000000e+06,2.000000000000000000e+00,9.583340180861273927e-01,9.196233357810084108e-01,8.918189988821602701e-03,9.830675926834631095e-02,1.129323045032975831e-03,9.903345184653207234e-01,2.218685130224593504e-04,2.796391303852895360e-01,2.412660865647103803e-01,4.196233357810086328e-01,3.937644573107602630e-01,4.062346491755431388e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+03,2.700000000000000000e+01,2.700000000000000000e+04,1.280000000000000000e+02,3.456000000000000000e+06,2.000000000000000000e+00,9.583340180861273927e-01,9.390832046357185936e-01,4.570678545386806790e-03,6.947151689844099920e-02,8.274514011901851207e-04,9.951730305107666652e-01,1.148646045608772611e-04,3.020916770912126514e-01,2.790303265553537582e-01,4.390832046357187046e-01,4.251388779876258406e-01,4.334881132993600450e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,1.942941953974608893e+00,7.476272166576872769e-01,1.763206692981216239e-01,3.342214797059800402e-01,3.608408508227143978e-03,8.882831120973025962e-01,2.408611717276878689e-03,2.312223518696061159e-02,3.461064882792788764e-04,2.381113666164742515e-01,1.873022662322809673e-03,3.223627756864266142e-02,8.999999999999999667e-02,4.807254000256516030e-02,1.622621285271630964e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+01,2.700000000000000000e+01,1.350000000000000000e+03,1.280000000000000000e+02,1.728000000000000000e+05,2.000000000000000000e+00,1.942941953974608893e+00,9.213827624778665459e-01,1.383125141175525208e-01,3.026507061590792969e-01,3.350320796997884303e-03,9.083914376584623085e-01,2.027971942367472625e-03,4.971744532200982752e-02,4.436097623774753161e-03,3.709723708395518127e-01,1.200102106339989705e-02,2.597248421683467368e-01,1.000000000000000021e-02,1.767432064140650461e-03,5.448619617870531506e-02,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,2.700000000000000000e+01,1.620000000000000000e+03,1.280000000000000000e+02,2.073600000000000000e+05,2.000000000000000000e+00,1.942941953974608893e+00,1.091725300418568079e+00,1.152530780095540469e-01,2.778863940824453094e-01,2.996314885993226623e-03,9.227702638599888374e-01,1.668219733332979710e-03,7.742113192467131588e-02,4.856723808591656595e-03,3.853501625547639531e-01,1.220719087895942856e-01,2.459927999047533398e-01,0.000000000000000000e+00,3.469446951953614189e-18,3.699349820698567826e-02,0.000000000000000000e+00
