coefficient_index,Pauli_label,compatible_settings
0,III,27
1,IIX,9
2,IIY,9
3,IIZ,9
4,IXI,9
5,IXX,3
6,IXY,3
7,IXZ,3
8,IYI,9
9,IYX,3
10,IYY,3
11,IYZ,3
12,IZI,9
13,IZX,3
14,IZY,3
15,IZZ,3
16,XII,9
17,XIX,3
18,XIY,3
19,XIZ,3
20,XXI,3
21,XXX,1
22,XXY,1
23,XXZ,1
24,XYI,3
25,XYX,1
26,XYY,1
27,XYZ,1
28,XZI,3
29,XZX,1
30,XZY,1
31,XZZ,1
32,YII,9
33,YIX,3
34,YIY,3
35,YIZ,3
36,YXI,3
37,YXX,1
38,YXY,1
39,YXZ,1
40,YYI,3
41,YYX,1
42,YYY,1
43,YYZ,1
44,YZI,3
45,YZX,1
46,YZY,1
47,YZZ,1
48,ZII,9
49,ZIX,3
50,ZIY,3
51,ZIZ,3
52,ZXI,3
53,ZXX,1
54,ZXY,1
55,ZXZ,1
56,ZYI,3
57,ZYX,1
58,ZYY,1
59,ZYZ,1
60,ZZI,3
61,ZZX,1
62,ZZY,1
63,ZZZ,1
