kind_code,target,readout_flip_probability,shots_per_setting,settings_per_parameter_point,shots_per_parameter_point,equatorial_points_per_family,total_equatorial_shots_per_family,W3_clean_grid,mean_winding,std_winding,mean_projector_distance_rms,mean_subspace_fidelity,mean_min_patch_overlap,minimum_patch_overlap,mean_parity_margin,minimum_parity_margin,parity_margin_10th_percentile,parity_correct_rate,parity_correct_ci_low,parity_correct_ci_high,integer_correct_rate
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,9.583340180861273927e-01,7.723537566055665993e-01,3.459389803568348881e-02,2.171829874903874469e-01,9.528238106915041250e-01,1.763894893588665580e-01,1.339587782293882867e-01,2.723537566055665993e-01,1.626057696508819150e-01,2.369537053409330740e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+02,2.700000000000000000e+01,4.050000000000000000e+03,1.280000000000000000e+02,5.184000000000000000e+05,9.583340180861273927e-01,8.288302965483521634e-01,2.370089999805845976e-02,1.779638493234100005e-01,9.683243976413855592e-01,2.112665429128941230e-01,1.490446327800369897e-01,3.288302965483522744e-01,2.760901448310930650e-01,2.959571094257906765e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+02,2.700000000000000000e+01,5.400000000000000000e+03,1.280000000000000000e+02,6.912000000000000000e+05,9.583340180861273927e-01,8.602793233460727107e-01,1.947560094590769855e-02,1.548894702157065650e-01,9.760054784992938659e-01,2.329106081562154762e-01,1.815682103751261600e-01,3.602793233460726552e-01,3.059213419479744900e-01,3.377902549709811408e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+02,2.700000000000000000e+01,8.100000000000000000e+03,1.280000000000000000e+02,1.036800000000000000e+06,9.583340180861273927e-01,8.937794284144489065e-01,1.384807901740903353e-02,1.265860761211542451e-01,9.839736148202120614e-01,2.583327171170192726e-01,2.188397444571888728e-01,3.937794284144487955e-01,3.525086135572428336e-01,3.766520053587768535e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+02,2.700000000000000000e+01,1.350000000000000000e+04,1.280000000000000000e+02,1.728000000000000000e+06,9.583340180861273927e-01,9.191367461299315700e-01,7.591564363796662364e-03,9.808019731449522938e-02,9.903785223733519993e-01,2.810970230083114640e-01,2.474430012903362508e-01,4.191367461299316255e-01,4.017012617387974993e-01,4.091330273471883716e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000104e-03,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,9.583340180861273927e-01,7.628870726644385591e-01,3.336506229793533701e-02,2.212912892027080469e-01,9.510225432884807928e-01,1.616141852912891252e-01,7.493433957050309180e-02,2.628870726644383926e-01,1.813606716509932326e-01,2.204872548005216704e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000104e-03,1.500000000000000000e+02,2.700000000000000000e+01,4.050000000000000000e+03,1.280000000000000000e+02,5.184000000000000000e+05,9.583340180861273927e-01,8.179600780789805237e-01,2.658851377214001624e-02,1.815319532177114004e-01,9.670421888973312896e-01,2.092245165607109214e-01,1.646509757743077618e-01,3.179600780789806347e-01,2.372689006789772126e-01,2.839583936726591262e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000104e-03,2.000000000000000000e+02,2.700000000000000000e+01,5.400000000000000000e+03,1.280000000000000000e+02,6.912000000000000000e+05,9.583340180861273927e-01,8.539061336643436473e-01,2.118264156917722477e-02,1.577833010682960779e-01,9.750996566056183701e-01,2.339922680721780723e-01,1.815533022643835148e-01,3.539061336643436473e-01,2.966399103625849687e-01,3.234489755206046979e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000104e-03,3.000000000000000000e+02,2.700000000000000000e+01,8.100000000000000000e+03,1.280000000000000000e+02,1.036800000000000000e+06,9.583340180861273927e-01,8.894804326286842588e-01,1.259280352961108032e-02,1.286629902721840302e-01,9.834434366717142995e-01,2.603271686446932409e-01,2.228049199543030157e-01,3.894804326286840923e-01,3.568292229696663487e-01,3.743160650992212179e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000104e-03,5.000000000000000000e+02,2.700000000000000000e+01,1.350000000000000000e+04,1.280000000000000000e+02,1.728000000000000000e+06,9.583340180861273927e-01,9.156163859049886167e-01,8.662995400845309793e-03,1.000472173970956280e-01,9.899892688656867223e-01,2.817685933106240381e-01,2.400286348709893824e-01,4.156163859049885057e-01,3.956005443285772749e-01,4.050342037376950532e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-02,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,9.583340180861273927e-01,7.528282514449748941e-01,4.346817492156956897e-02,2.256235165411134558e-01,9.490852750260527770e-01,1.601102288689565389e-01,1.041129946731727124e-01,2.528282514449749496e-01,1.433681165430343851e-01,1.988820251433404407e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-02,1.500000000000000000e+02,2.700000000000000000e+01,4.050000000000000000e+03,1.280000000000000000e+02,5.184000000000000000e+05,9.583340180861273927e-01,8.114726051405429796e-01,2.509201777076244116e-02,1.848783035618868364e-01,9.658146293852221120e-01,2.034857876609183214e-01,1.375633490517694790e-01,3.114726051405430352e-01,2.255820128356965659e-01,2.834628296409572590e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-02,2.000000000000000000e+02,2.700000000000000000e+01,5.400000000000000000e+03,1.280000000000000000e+02,6.912000000000000000e+05,9.583340180861273927e-01,8.498002700425608680e-01,2.101798680710545431e-02,1.607660333555427923e-01,9.741496760489076756e-01,2.309092147838262832e-01,1.902510344877816895e-01,3.498002700425609235e-01,2.835367140397263563e-01,3.262390279503052382e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-02,3.000000000000000000e+02,2.700000000000000000e+01,8.100000000000000000e+03,1.280000000000000000e+02,1.036800000000000000e+06,9.583340180861273927e-01,8.846950942803752937e-01,1.356777207810954886e-02,1.311827348760973844e-01,9.827889831124337894e-01,2.577163961818943472e-01,2.167924538140856561e-01,3.846950942803754603e-01,3.434079891852666044e-01,3.663757343980356129e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-02,5.000000000000000000e+02,2.700000000000000000e+01,1.350000000000000000e+04,1.280000000000000000e+02,1.728000000000000000e+06,9.583340180861273927e-01,9.110665404282037860e-01,1.117124808905809938e-02,1.021631504949684216e-01,9.895618327019241045e-01,2.800180178709275047e-01,2.428232881921999486e-01,4.110665404282040081e-01,3.797384202854594548e-01,3.977263936717568837e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,9.583340180861273927e-01,7.239211253816890679e-01,4.538789411312021960e-02,2.336198248036021607e-01,9.454135908479608386e-01,1.485054799567367967e-01,3.066055544891523391e-02,2.239211253816892067e-01,9.419758304559688877e-02,1.680467651918179373e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.500000000000000000e+02,2.700000000000000000e+01,4.050000000000000000e+03,1.280000000000000000e+02,5.184000000000000000e+05,9.583340180861273927e-01,7.986091074052780181e-01,3.196524162260065693e-02,1.924420436193615136e-01,9.629607289809449799e-01,1.958804550042325676e-01,1.226395164687613532e-01,2.986091074052780181e-01,2.189313144904677655e-01,2.573101810339321616e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.000000000000000000e+02,2.700000000000000000e+01,5.400000000000000000e+03,1.280000000000000000e+02,6.912000000000000000e+05,9.583340180861273927e-01,8.381717266519695952e-01,2.531082704203211145e-02,1.670004185829919163e-01,9.721068725511611275e-01,2.229794012268470627e-01,1.632112346749683141e-01,3.381717266519696508e-01,2.762288206599996521e-01,3.060581752535442845e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,3.000000000000000000e+02,2.700000000000000000e+01,8.100000000000000000e+03,1.280000000000000000e+02,1.036800000000000000e+06,9.583340180861273927e-01,8.740314933905617423e-01,1.485524572096825341e-02,1.369117668356922835e-01,9.812530294256879282e-01,2.519688868948536387e-01,2.105950588803692236e-01,3.740314933905616313e-01,3.381970407773686738e-01,3.536553788247233099e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,5.000000000000000000e+02,2.700000000000000000e+01,1.350000000000000000e+04,1.280000000000000000e+02,1.728000000000000000e+06,9.583340180861273927e-01,9.043935315437426903e-01,1.027008829686739538e-02,1.065973105498015244e-01,9.886349666824163496e-01,2.817195265158116690e-01,2.513296498870217222e-01,4.043935315437426903e-01,3.784995296470931025e-01,3.900874283379471286e-01,1.000000000000000000e+00,9.630065017930142801e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,1.942941953974608893e+00,1.381780997873225392e+00,7.145115759190825977e-02,2.192917173574832346e-01,9.519062962511926074e-01,1.557373145073228937e-01,6.702931028392376811e-02,1.243440707684770469e-01,1.661233660056327111e-03,4.026687256534688952e-02,8.000000000000000167e-02,4.109346148438062368e-02,1.499810770094873458e-01,8.000000000000000167e-02
