kind_code,target,delta,clean_grid_winding,mean_winding,std_winding,minimum_patch_overlap,parity_correct_rate,parity_correct_ci_low,parity_correct_ci_high,rigorous_global_gap_lower_bound
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,9.971809806596574344e-01,9.972081391038162268e-01,9.585623152764869532e-05,3.251835925689710027e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,2.725000000000000200e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,9.971809806596574344e-01,9.971235275022479749e-01,3.392459487344198646e-04,3.215145760667231234e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,2.124999999999999944e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,9.971809806596574344e-01,9.971626793058691041e-01,5.425887646747887564e-04,3.152690111278007024e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,1.524999999999999967e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,9.971809806596574344e-01,9.973441551962098917e-01,5.829321547816634875e-04,3.188705886763062436e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,1.124999999999999889e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.199999999999999956e-01,9.971809806596574344e-01,9.968889129205361632e-01,6.863954581363864837e-04,3.100076282099442082e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,7.250000000000000888e-02
0.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000133e-01,9.971809806596574344e-01,9.967397588971235178e-01,1.138032320704842866e-03,3.049609809033160257e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,3.249999999999997335e-02
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000042e-02,1.999749821286831208e+00,1.999745438847469137e+00,2.155049151989270328e-06,4.938256209432653199e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,1.959999999999999964e+00
1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000278e-02,1.999749821286831208e+00,1.999720083862886577e+00,1.410839039249862307e-05,4.866129485416084144e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,1.899999999999999911e+00
1.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000167e-02,1.999749821286831208e+00,1.999672519427094342e+00,3.102075278613948599e-05,4.786097721947727424e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,1.840000000000000080e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,1.999749821286831208e+00,1.999626825720699275e+00,6.682885006939552185e-05,4.606240757548339393e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,1.800000000000000044e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.199999999999999956e-01,1.999749821286831208e+00,1.999543418849291321e+00,8.806167820960349071e-05,4.710828311979237126e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,1.760000000000000009e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000133e-01,1.999749821286831208e+00,1.999497779432986011e+00,1.197888839879435944e-04,4.671104146408584512e-01,1.000000000000000000e+00,8.864866068260311982e-01,9.999999999999998890e-01,1.719999999999999973e+00
